offensive_language,tweet
6,"""day of judgement everybody gonna be looking at the big jumbotron watching me fuck this majjinn buu bitch"""
6,"""don't let your side bitch settle in, I might have to headbutt you Evelyn"""
6,"""hoes suck my dick cus i look like john stockton hit em wit the choppa, luke i am your fatherrr"" - @LILBTHEBASEDGOD"
6,#11 get to hit any bitch on campus he wants to
6,"#BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock"
5,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!
6,#IDontHaveTimeFor Ratchet hoes.
5,#IHopeSomeday that these hoes just find their own relationship instead of ruining others
6,#TjohnGang&#128520; lil bitch follow me ! http://t.co/sd8UhT4DNY
4,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z
6,#klokus this bitch has his nose pierced &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/1Ia8Nx6zrS
5,&#128064; RT @Mr_QuenchYaGirl: A lotta fck niggas on this here Twitter. Really be talking like bitches.
6,&#128073; RT @OfficiallyIce: #GuiltyPleasure watching niggers fight on YouTube/Vine/IG
6,"&#128514;&#128514;&#128514; RT &#8220;@TuneLuciano: this hoe just DM'd me sayin ""never give up in your dreams""...fuckin fortune cookie ass hoe, fuck out my DM's&#8221;"
6,&#128514;&#128514;&#128514;&#128514; @shoota1017 bitch was mad af https://t.co/9C4i4W7Q7D
6,&#128514;&#128514;&#128514;&#128514;&#128514; brittany bitch u my dog man &#128514;&#128514;&#128514;&#9996;&#65039;&#9996;&#65039;&#128553;&#128553;&#128553;&#128553;&#128553;&#128553;&#128569;&#128569;&#128584;&#128584;&#128584;&#128584;
5,&#128514;&#128557;&#128128; RT @iDO_me2: Hood hoes love Harrell football team&#128528;
5,&#128563; RT @Pr3ttyN33: &#8220;@11wdNICK: I think all dem hoes on LAHHH regular....&#8221;my co worker was messing with Omarion bm &#128553;
6,&#128563; RT @UBoyRock17: &#128557;&#128557;&#128557; these hoes selfish
8,&#8220;@Adrianmayer99: Fucking pussy&#8221; @JosephNoonan2
8,"&#8220;@Benkasso: I'll beat the pussy up, that's a hook right thur&#8221; &#128064;"
6,&#8220;@Bossman_Carl: I just wanna do something for somebody&#8221;boy sound desperate than hoe how you bout you start off and flat that nose of yours
6,&#8220;@CMRE24 &#8220;Sum wrong with the pussy&#8221;- Sweets&#8221;smh
6,&#8220;@CiscoAllDay: @1Bcarter if by marrying her to avoid paying child support is a win then yeah lol&#8221;we don't see the hoes the same &amp; that's ok
5,&#8220;@CiscoAllDay: @1Bcarter you're right I'll take girl on the right over Kim any day http://t.co/nbKHCG0bZq&#8221;can u support that hoe?
5,"&#8220;@CiscoAllDay: If Miley really got knocked up by Juicy J that shit is wild.... &#128563;&#8221; didn't he say ""u say no to ratchet pussy Juicy J can't"""
6,&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU
6,"&#8220;@DrakeTakeCare12: You don&#8217;t listen when I talk, maybe you&#8217;ll listen when I walk.&#8221; That bitch still won't listen"
5,&#8220;@GANGLANDABBY: What these bitches want from ah nigga &#128526;&#8221;
6,&#8220;@Garricka_: Ima just block you hoes out!&#8221;or block em either one lol
6,&#8220;@GaryTweets__: It's my dogs birthday &#10084;&#65039;&#8221; you should get it a bad bitch &#128521; #punny
6,"&#8220;@HerMoufPiece: They be hating on my girl tho, but they wish they was the bitch they hating&#8221; this song go"
9,&#8220;@Hermosa_Jayy: Can I bring anotha bitch or nah &#128527;&#8221;
5,&#8220;@ICEom @SupurMario27 coolin my nig ( @1TIMMYTEE voice)&#8221; uhhee ( @ICEom laugh)
6,&#8220;@JoeBudden: The bad bitches are only bad until they start talking anyway.&#8221; He Preaching
6,"&#8220;@KaayGQ: Sexy bitch, hope she bout it&#8221;"
6,"&#8220;@Leelucas_: @100046729 lol , be cool son. You know your grandma bald mouth&#8221;she got all her teeth hoe &#128514;&#128514;"
6,&#8220;@Leelucas_: @darwinjames125 @100046729 they can't fit on that small ass street son&#8221;bitch you know what happen last time we was onyur st &#128514;
6,&#8220;@Leelucas_: Yall on my TL need to be sleep yall got school tomorrow&#8221; bitch I got straight A's ion need to go &#128514;
6,&#8220;@M_Rad: I'm going to miss these bitches so much &#128557; http://t.co/lUpoqaT2R9&#8221; far right she resting on ol girl booty y'all funny as shit
6,&#8220;@M_Rad: You was with the bitch with the fat ass &#128514;&#8221;only way to live when u young that shit gonna get old tho and have a lot of dents in it
5,&#8220;@MarieHippy: Bitch niggas pay for hoes just to lay with hoes&#8221; relax one night you'll pay to stay with hoes
6,"&#8220;@MarieLeVisual: if your wardrobe consist of mostly leggings, you's a hoe&#8221; guilty"
4,&#8220;@Nelly_Flexin: Y'all bitches switch a roo niggas !!!&#8221;&#128064;&#128064; who the hell
6,&#8220;@NoGovy: Smh bitches are such haters !!! How dare they do this to her #blackgirls #jealousy http://t.co/i2nnm1Z1&#8221; YOOO LOOOL
9,&#8220;@RileyyBryn: &#8220;@devon_sheaa: I just want panda express&#8221; panera**&#8221; big booty hoe*** &#128514;&#128514;&#128514;&#128514;
6,&#8220;@Sair____: you lucky ashit if you got the shawty you want .. &#128527;&#128175;&#8221; a niggah just tryna keep her
8,"&#8220;@TinnyTimm: &#9994;&#128558; u r gey af. But you're my boy I'm glad I'm close with you. You dumb bitch&#8221; how guys say ""I love you"" &#128527;"
7,&#8220;@Traceydee98: I want pussy for dinner&#8221;
6,&#8220;@TrillVanillaaa: I feel like twerking &#128514;&#128514;&#8221; This is why yo pussy stank &#128581;
6,&#8220;@Tylar____: This single shit so boring &#128555;&#128530;&#8221;suck it bitch
9,"&#8220;@WEEEDITH: All I want is bitches, big boooty bitches&#8221;"
6,&#8220;@_BeautifulKeezy: &#8220;@100046729: This bitch lying to me &#128514;&#128530;&#8221;&#128064;&#128064;&#128064;&#8221;messy yess
6,&#8220;@_BeautifulKeezy: Alyssa you ignoring me bitch but you better text me back cause I'm serious !&#8221;fuck u smokey
5,&#8220;@_BeautifulKeezy: im so winning. &#128525;&#128525;&#128525; http://t.co/Jf6U54CMW3&#8221;&#128514;&#128514;&#128514; bitch
6,&#8220;@_BeautifulKeezy: these hoes be playing w/ me like I won't send baby Cain at they niggah !!&#8221;yesss messy.
6,&#8220;@_TheCrownedHead: what if I tell y'all I'm trying to turn up for bayou classic #drinker &#128520;&#8221; bitch you got the id.
4,&#8220;@__marshe: Niggas is hoes man I swear&#8221;
5,"&#8220;@__nijel: This hoe Mimi said ""I hurt my hand"" &#128529;&#8221;&#128514;&#128514;&#128514; bitch her throat &#128514;&#128514;"
6,&#8220;@_tellmeboutLOVE: Gave that bitch a bib since she wanna act messy&#8221;
6,&#8220;@_xCianna: I don't like Popeye's spicy chicken &#128545;&#8221; them bitches be on 10 boa you trippen
6,&#8220;@_yeaimmaBOSS: &#8220;@100046729: I wonder if I @ oomf I be like I want fuck would I be wrong or &#128533;&#8221; you a be one brave as bitch&#128514;&#128514;&#8221;one day &#128553;&#128514;&#128514;
6,&#8220;@bwanaaa_16: I like down bitches&#8221;
5,&#8220;@comedianjayski: Happy Hour time best time of da day!!!!!&#8221; Niggas don't know bout them happy hour hoes
6,"&#8220;@concretesledge_: Gwyneth Paltrow you ugly ass big bird looking bitch, shut the fuck up.&#8221; &lt;&lt;That's pretty much IN YOUR FACE!
Bravo!"
5,&#8220;@daijahshardaee: I feel sorry for whoever using Alyssa number to play phone games &#128532;&#128080;&#8221; dumb ass hoes who ain't got a life
4,&#8220;@dewayneee_: That pussy so wet she gotta dry outside&#8221;stop telling my business
6,&#8220;@drphilDONTEhue: Now ma'am ... &#8220;@_PettyCrocker: Every jawn on here been tryna have they pussy cop a feel on Donte's peen&#8221;&#8221;&#128563;
6,&#8220;@iDisrespectHoez: RT @GodOfMilfs: Single moms got that proven pussy&#8221; LOL fckd up but truuu
5,"&#8220;@itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies &#128557;&#128514;&#128514;&#128514;&#8221;No BS"
6,&#8220;@kincade00: Rico full of shyt&#8221;full of money hoe
5,&#8220;@lilduval: Is it me or does Kim kardashian ain't looking as good no more&#8221;still look better then these so called bad bitches
5,"&#8220;@lovelyatotheb: @1Bcarter would love the Parkside sport girls, dressed like Kobe all day everyday!&#8221; Let me see 1 of them hoes"
6,&#8220;@lovelyatotheb: This guy said he's slept with 300 girls.. Oh ok let me puke now.&#8221;I know a girl that had 70 dudes slut/whore not hoe
6,&#8220;@miilkkk: On a scale of 1-10 this bitch is literally a 6 http://t.co/A3rMyfNUS4&#8221;hahaha
6,&#8220;@muhlackk: I'm Trynna find a bitch with a fat ass&#8221;
9,&#8220;@najmaaa_ali: Lool I agree RT&#8220;@stopitfive_: the most fucked up show I ever watched was misfits&#8221;&#8221; wen Simone wifed that hoe was the saddest
6,&#8220;@odlew11: Who clothes in the dryer? I'm tryna dry my clothes&#8221;throw them hoes out
6,&#8220;@popitfor_tyrick: Bitch said I lie too much bitch you ain't worth telling the truth too&#8221;&#8252;&#65039;&#8252;&#65039;&#8252;&#65039;
6,&#8220;@robbyohn: The Kimberley story is by far the scariest story I've ever heard! &#128513;&#8221; pussy
5,&amp; These bitches bound to get hurt cause a lot of these niggas be playing
5,&amp; ion have a bitch. So yeah. What's understood don't need to be explained.
6,"' All jokes aside , I'm goin thru it a niggah heart hurt smh . &#1043214; ."
5,"' And you know that I believe it , cause her pussy to mee... &#1041185;&#1041240; And she don't fuck with many niggahs , she don't fuck with any niggahs &#1041219; ."
5,"' Annnie say fuck that niggah , he soo weak ! &#1041204; He can't tell that you a freak &#1041196; That you ain't lookin for love .... http://t.co/62URiSgiQ1"
6,' August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .
6,"' Babyy moaaaanin &#1041219;&#1041222; Got me zone'nn...... I want this bitch next to me , pussy like ecstasy &#1043215; ."
5,' Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... http://t.co/av9YPjtwxn
5,' Broke Tf outta this niggah at 24 &#1041204;&#1041204;&#1041204; He stopped playen defense and all
4,"' Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE"
6,"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings ."
5,"' From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu"
6,' Fuck her right in the pussy &#1041204;&#1041204;&#1041204;&#1041204;
5,' Hate a female that got the mentality of a niggah .
5,' Have you ever had sex ina cherry red vet witha fat trap Niggah keep that pussy sooo wet &#1043359;&#1043291;&#1041185; .
6,"' Hoes on my mind , I fuck hoes all the time . #FatTrel"
5,' I ain't trippen off you no mo &#1041204;&#9995; I done dropped you &#1043360; Knocked 4owe &#1043359; I could Neva be a foo for a hoe &#1043357;&#1043357; I put... http://t.co/GAIElrPDIK
5,"' I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu ."
5,"' I told this niggah Maya Angelo died.... This niggah gon ask me "" is that the Red Ninja Turtle ? &#1041204;&#1043473;&#1043357; Wtf ."
6,' I will never date a female with another niggah name on her lol . Wtf .
6,' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .
5,"' I'm hard to kill &#1041653; , I'm countin cake up with ma finest bitch &#1041636;&#1041636; . Take off her makeup and she still look like a finalist &#1041191;&#1043359; ."
5,"' Indiana niggah you can tell from ma muhhfuckin grammar , I swear I got 3 hoes with me just like I'm Santa &#1041204;&#1043359; ."
6,' Lemme find out you didn't answer my call cause you otp with that niggah &#1041204;
6,' Mann these hoes get nothin ! &#1041233; But some dick and instructions ! &#1041204; If she with mee she fucccccckn ! I said I... http://t.co/1FN2TegZHh
6,"' Nah I ain't no hoe niggah , no bitch niggah , rich Niggah with the shits Niggah Getchu chipped niggah ."
4,"' Niggah said "" my girl off limits thirsty niggahs stay out her inbox "" But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q"
6,' Niggahs stay thinkin I want they girl &#1041204;&#1041204;&#1041204;&#1041204;&#9995; Not nevvvvva niggah .
4,"' No FEELINS for a hoe that ain't ma main thang , ma niggahs on the same thang &#1043359; all ma niggahs gangbang ,... http://t.co/pc0fcynoFU"
4,"' See I gotta get this money ma palms itchin , niggahs gossip like hoes most of them bitches ."
6,"' She herd I was a dope boy , I herd she was a gold digger &#1043359; , all I know is she a real bitch , so I fuck her like a real niggah ."
4,' That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA
5,' Waaaaittt niggah holllll'up &#9995; these niggahs come to town start wife'n my old sluts &#1041204;&#1041204;&#1041204;&#1041210;&#1041210; .
5,' You gottttta be a mad a madddd niggah &#1041204;&#1041204;&#1041204; Sayin ma name ? I must've got you madddddd niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1043359;&#9995;
6,"'Every bitch got a fat ass or she $3,000 from it' #RNS"
5,'Views from the 6' gon be Instagram picture titles for a while...brace yaself my nigs
6,*pregnant crazy bitch wus the answer we were looking for...
8,1 loyal girl &gt; 1OO hoes
4,1 more day bitches!!!!
4,2 year starting on me on the street... so i put a fag out on him. #funnyguy
6,"20k tweets hoe, I'd like to thank all my supportive fans &#9996;&#65039; more tweets to come."
6,"37- no, i dont like hoes"
6,416 we know ya bitch @kendricklamar
6,@21Cvasquez little bitch your ass is getting tased when I get home
5,@Air_Zeke_12 hell yeah I got bokoo hoes when I had my fro
6,@Alan_Casillas lol bitches from riverside to LA ahah
5,@Alan_Casillas nah i thought u had to bitches lol didnt know peters girl was one of them lmao
4,@Alan_Casillas niggah lol i had 6 beers before i went to the bar then had 4 beers at the bar then got a 12pck on the way home lool
6,@Alejandro_Bihhh @CapoDaAssHole I'm on this hoe like this every night just be tweeting bullshit
6,@AlexisDiamond_ bitch stop fucking playin with me you know wtf I'm talkin about
5,@AlexisMota29 this niggah be lying &#128514;
5,@AmericaAnti You're dismissed bitch. Not in the mood for fucktards this morning. #Blocked @Darknight420
6,@BallOut057 I'm otp bitch hold on
4,@BarneyFranken @jennykutner @Salon salon is is chuck full of butthurt liberal retards
5,"@BlakkHoodie_562 always eatin good wit my niggah, and good lookin on the cd my boy got some heat now i can bump some bangers"
6,@Briscoefunnyguy @_KaeeJones I gotta see that hoe in person cause I'm sleeping on that hoe for now
6,"@CDNBallJunkie I jus wanna let you know OKC trash, IBAKA ain't shit, y'all ain't goin nowhere without Harden"
9,"@CDNBallJunkie Spurs bitch that's the team, you dont want no problems"
5,@CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit
5,@CallMeRenee_ wussup bitch
6,@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em
6,@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning
6,@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet
5,@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap
5,@CapoDaAssHole naw where can I see that hoe at
7,"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced"
5,"@CarelessOne92 he a real nigga tho, that bitch know her place"
6,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout"
6,@CassiusClay_232 Lebron brought the bitch down to his knees chill
4,@CeeRoss shoulda told her yeah if I can take you home for pussy lol
4,"@Chicago_Rose1 Dunleavy, my cracker ass honkie"
4,@Chykalet naw u just retarded kinfolk lol
6,@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh
6,@CoolStoryIsaac hahaha thanks bitch!! &#128514;
5,@CoolStoryIsaac thisty hoe
6,@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha
6,@CuteCIothes @xo_shelbie go buy them bitches
5,@Daa_Boy_Rell @sluttyboy_kush @keem_Escobar you. A bitch too
4,@Dalton_ryann laying in bed bout to pass out 630 is gonna be a bitch
4,@DarkLiquaNigga_ nigga grow some balls and concentrate pussy!!
4,@DaveSwerve boy look like a Slave on that hoe
6,@DetroitPlayer @prettytreazure gotta be atleast 5'10 to call me a bitch lol
4,"@DougBenson hey you bitch, you should get the @lucasbros on your show. They'd be perfect for it! I'm kidding about the bitch part."
6,@Dranumaya wrong maybe you been dealing with pussies but I don't put up with that crap. If I f*** up telling me I f***** up. Keep it real
6,@Dre_thinks lol lil bitch
6,@DreadHeadxx bitch hallon
6,@EVBY_HATES_ASH that bitch wants everybody out though.. thats the same shit she did to me at one point
6,"@ElaineeEspinoza *you're, *bitch"
4,@FixItJESUSx just be a hoe then
5,@FlightYung that's what I call a crash dummy hoe
6,@GorgeousCamry_ @itsDeSha__ man get yo bitch ass out my mf mentions man with all tht bs u trippin
5,@GorgeousCamry_ bitch fck all lay wat you wanna do
5,@GorgeousCamry_ fight or nah dumb bitch &#128530;
5,@HeelsOverSneaks smh. U so retarded. Lol
7,@Honey_GotBunns bitch you know you won't this &#128526;&#128131;&#128588;&#128514;
6,@Hovaa_ that's very logical because bitches love using my face as a toilet
6,@Huntermoore drunk bitch used to eat my ass its relaxing
6,@ICBC_World214 that hoe out now
4,@IIXIXIII bruhhh I'm joking... Don't pop trunk on me I'm just a bitch ass niiiieeegggaaa
4,@IMTHATGUY_DHuck Happy Birthday pussy. Have a good one
6,@ISmashedYoGurl @Jonathan_Scott_ ahhh stupid bitch!
6,@IdiotOlympics @ForTheMen fuck her right in the pussy
6,@Iemonaids I'd pop dat lemon for some real pussy.
5,@Iemonaids Id break that little bitches finger
4,@ImASpiderG you a bitch nigga
5,"@ItsOnlyJess @LukeFriendyy @J_CATS_RULE she's a right twat, I'd tell you, honestly Sky! Honestly &#128520;&#127829;"
6,@IzThat_xp @xDSmooth lmao denote got a bitch here right now but he love her
5,@JUSTLOVE_NOHATE @Me_NOindirect whole hoe outchea.......
5,"@JUSxDOiT I was hangin' on them corners late Pockets wasn't straight, bitch! I ain't gon make it at this rate, dawg.. Know what I'm sayin?"
6,@JalenDGAF @CourtniClark &#128308;&#9899;&#65039;&#128308;&#9899;&#65039;&#128308;&#9899;&#65039; no pressure hoe
6,@JerGucci go on Craigslist bitches be on there &#128514;&#128514;
6,@JerGucci my luck the bitch gonna drug me an I won't even kno what happened lmao
8,"@JimmyMcIver @jerrilyn71 @Doc_68W_ Just like ""FAT CHICKS NEED LOVE TOO"" I guess. 
Some Jeffrey Dommer Type would be all over that sloppy ho."
4,@JoeBiden is such a retard! &#8220;@irritatedwoman: Biden Calls Himself &#8216;White Boy&#8217; in Meeting With Black Pastors http://t.co/bqx1IEv0wD&#8221;
6,@Juicy_james01 ain't no love 4 these hoes
5,@KazAtta I woulda jus told skylar one night 'hey I got a flight in the mornin...you wit it or nah' while textin my brazilian bitch
9,@KazAtta he jus need to go to brazil get himself a bad brazilian bitch and jus relax
6,@KazAtta why is he stressin himself this nig can be livin lik meech before he went to prison
4,@KazAtta your welcome my nig #salute
6,@KyleReinders bitch
6,@L0SERNIGGA @HotNiggaDarius all bitches all day all the time
6,@LadyVodkax keep them around so new bitches know they could be the next ex if they dont stay in line.
6,@LadyVodkax we're talking about fucking you right in the pussy
5,@LeMochaMojito bitch who is you?
6,@Leelucas_ &#128514;&#128514;&#128514;&#128128;&#128128; alright nah bitch you want play on Twitter.
6,"@Liveitupjersey @ccass357 &lt;&lt; Where'd you go big mouth bitch?
Busy Choking on that Cock I told you to find?"
6,"@Liveitupjersey yeah, I seen you tweet about bitch &amp; block. I used it...it fits!"
4,"@Liveitupjersey yeah...I try NOT to follow them ZULU looking bitches. 
#muslims FLAT OUT NO WAY!
I use my sheets on my bed, NOT MY HEAD!"
6,@LouieVRee @TehReelHov dat bitch a tampon
8,@LowworldsFinest @1stblock_thomas man y'all niggas chill man I'm High af tho . Y'all niggas ain't even tell me who the hoe is &#128564;&#9995;
4,@MakEitSndGoOd @Fewjr we block us then and see what happens. You think we on ya high yellow ass now. Just watch
5,@Marco_SharkHoes hoe I'm at work til like 8
4,"@MarshallSOTS It's @JakeEye3 's favorite fucking jam! I haven't seen it, but judging by there being a little girl in it, it's probably trash"
4,@Mijo_LGI all I heard was I'm a bitch nigga
9,@Mijo_LGI you're such a bitch
4,@MileyCyrus I want to suck your pussy
6,@MoeEaseYaMind bitches crazy &#128553;&#128514;
6,@MosoKnowso @ShaeGreyyy thats a goddamn terrible joke you gbe lookin bitch
7,@MotherOfBraylon you already know they go to fed for me ah bitch be ready to walk out the door &#128514;&#128514;&#9996;&#65039;
4,@MrWoofless Don't be a bitch.
4,@NikkiGentry843 just wait....karma is a #bitch
6,@PRoseish we don't send pussy ass cowards to old sparky
6,"@PennyTheGOAT 
This look more like your little baby son of a bitch. http://t.co/GO58cT7ue7"
4,@PzFeed This guy would SO get a show on Spike if they could somehow revive the son of a bitch. I'd watch.
6,@QuavoStuntin my bitch got the dope in her panties sssshhhhh you to Dramatic
6,@QueenSAVage97 @FresH_BoY_Will how you gonna compare sushi to pussy tho there ain't no dicks going in your sushi &#128514;
6,@RAEPaelMunturo apparently not many bitches have seen that
6,@REAL_Kaysavage that bitch was going or nawl
5,@RHook220 @ohwait_itsKate @EjPeruski5634 pussy x3
9,@Rasheed_Sheen man damn dude come get this bitch lml
6,@RealNiggaSherm bitch
5,@RealNiggaSherm wen he ho dwn da road
5,"@Real_Liam_Payne be a pussy

as in cat"
6,@Real_Liam_Payne be a pussy http://t.co/ttzsxBtS74
4,@RichBum_Mitch say how you do that I got this lil bitch who ain't getting the memo
6,@Righteouz_ @growejr I could have that chick there boobs in my face and score the fight better than the bitch that made it 114-114
6,@Righteouz_ @growejr that bitch should be in jail for that 114-114
4,@Righteouz_ lmfao!!!!! I remember all the rednecks in my school with that shit lol
4,@SadderDre @PoeticGenius19 who knows man. That Uncle Tom mentality will never die. Ol Martin Baker headass
6,@SarahAuten bitch slap that asshole....with a chair!
5,@ScanBC hoe the cookie crisp cop is on the case.
5,@ShenellyB lol u knw dem project bitches be having dem light brown roaches we call dem water bugs &#128514;&#128514;
4,@Solyybee_ hahahah for reals he was like this bitch crazy lol
4,@SugarShai2 room temp cus i have sensitive bitch teeth. ( ._.)
6,@THEalexflores10 bitch answer my calls
5,@T_FLYE he killed that hoe though
6,@T_FLYE lmaoooo I know Taylor in Brazil eating that overseas pussy
4,@T_FLYE you got some more hoe
4,@Tee_Bizzle hoes* are more fun
9,"@Tee_Bizzle i aint shit, you aint shit...bitch we meant for eachother"
9,@Tee_Bizzle shut up bitch
6,@TheLadyGamer if you gotta shout u a bad bitch... u ain't a bad bitch &#128524;
6,"@ThomasNye1 my momma saw how the girls danced and was like &#128563;grandma was like ""shake that ass hoe"""
5,@TinnyTimm taylor wack ass bitch nigga
6,@Titan21Mtzzz you is a hoe
6,@TrillVanillaaa bitch I'll fuck you up
6,@TrustNunBut100s aight bet we in that bitch too
5,@TryHardAlby it is bitch
8,@TryHardSilva thisty hoe
5,@Tylar____ @xxJaiLynn Tylar shut up bitch . I usta make you these
6,@Tylar____ bet hoe
4,@Wimp_W_Diesel real shit bro yo hoe told me if Smoothie King had straws i ca fuck
6,@YFN_NESHA all the great QB's fold under pressure gshit if u blitz Peyton ass he gon gook out
6,@ZELNO96 Someone told me cuz some ppl like to use it as bitch some females don't like being calles female but meh *shrugs*
6,@ZELNO96 one sick bitch
6,@Zach_Dorsey thirsty hoe
6,@_Aly_baby_ well at least If you're going to do somthing you do it.. And don't bitch out.. Even when it's the wrong thing &#128527;
4,@_Andsss cool cool fuck wit u too nicca
6,@_Angeel14 thirsty ass hoe go to sleep &#128514;&#128514;
6,@_BeverlyNoHills bitch... So they can't hold a real nigga down fa long.. &#128546;&#128546;&#128546; bruh ask mama to pay this ticket fa me!!!!!
6,"@_BeverlyNoHills you so fucking nasty. You got held to the wrong pussy. I'm telling , you bet not ever kiss me again!! I'm breaking up w| u!"
8,"@_DCorNothing_ @KyariesDa4 he should! I got tired of hearing how he can eat pussy 10,000 ways like damn &#128514;&#128514;"
6,@__DatTootieGurl that hoe can't cook
6,@_lostb0y no bitch w my dick
4,@_theDarius bitch get that job first.
4,@_xpriceless_ bitch u forcin it talkin about my family and shit watch out
6,"@airwolf1967 @NoInfidel33 @tedcruz @SarahPalinUSA @TWShannon in ALASKA!!
Nothing going on, nothing to do, nothing to bitch about, few laws"
5,@alexrojas_10 yo fag Rojas
5,@alisha_serv thats wassup how u got bitches sending you booty pics tho lol
6,@catleesh_ I have small pussy size plugs
6,@ccass357 @Liveitupjersey real Serious in CT! Bunch of whiney cunts!
6,@cuteasstab niggah this shit serious aint no one laughing
4,@danusaur @GoldenArmada_ we don't love these hoes
6,"@davidlyon1690 @_shannonmacleod he wants pussy, nd a dini mean a cat"
